Student_ID,Study_Hours,Attendance,Previous_Marks,Assignments,Internal_Marks,Final_Result,Grade
STU1231,4.6,55.8,46.1,40.6,61.0,Pass,C
STU1232,4.9,76.9,49.1,74.8,65.7,Pass,B
STU1233,6.0,50.6,53.2,60.6,46.7,Pass,C
STU1234,7.8,70.7,63.6,67.6,51.0,Pass,C
STU1235,7.8,74.8,83.2,80.4,81.2,Pass,A
STU1236,8.4,79.8,70.8,69.4,81.1,Pass,A
STU1237,5.2,51.4,36.7,52.8,25.8,Fail,Fail
STU1238,5.7,61.0,54.0,63.3,66.3,Pass,B
STU1239,5.8,58.9,51.4,69.1,51.0,Pass,C
STU1240,8.7,81.2,79.4,81.4,74.8,Pass,A
STU1241,4.7,62.4,48.2,38.0,48.8,Fail,Fail
STU1242,5.7,72.3,78.4,70.0,52.1,Pass,B
STU1243,6.0,90.0,55.9,65.6,73.3,Pass,B
STU1244,6.0,61.1,80.4,79.7,68.6,Pass,A
STU1245,3.9,72.7,40.8,46.3,55.2,Fail,Fail
STU1246,4.4,66.2,60.4,44.3,54.4,Pass,C
STU1247,5.5,56.0,56.0,59.8,46.5,Pass,C
STU1248,4.4,50.6,45.1,70.9,36.9,Pass,C
STU1249,8.4,80.9,88.1,94.7,82.8,Pass,A
STU1250,4.9,79.6,53.1,65.5,67.5,Pass,B
STU1251,4.8,56.4,45.3,56.8,37.0,Fail,Fail
STU1252,7.9,89.2,75.9,82.0,67.8,Pass,A
STU1253,6.6,72.4,96.3,90.8,74.9,Pass,A+
STU1254,7.6,76.4,82.9,71.9,59.0,Pass,B
STU1255,5.4,45.0,39.8,49.1,32.9,Fail,Fail
STU1256,4.2,67.3,53.8,62.8,45.5,Fail,Fail
STU1257,9.2,86.4,72.8,81.2,71.1,Pass,A
STU1258,5.6,58.4,44.4,67.8,44.1,Fail,Fail
STU1259,5.8,48.2,75.0,68.3,45.7,Pass,C
STU1260,6.9,76.2,81.7,68.7,81.2,Pass,B
STU1261,5.4,64.3,44.4,61.4,57.5,Pass,B
STU1262,6.0,71.1,59.4,62.1,52.8,Pass,B
STU1263,3.3,57.1,20.0,35.0,33.2,Fail,Fail
STU1264,3.9,49.9,52.8,45.6,47.2,Fail,Fail
STU1265,5.9,72.0,60.9,61.6,65.1,Pass,B
STU1266,3.1,68.4,54.9,47.1,41.1,Fail,Fail
STU1267,7.8,65.5,78.3,89.9,79.7,Pass,A
STU1268,3.4,59.1,35.9,26.2,39.1,Fail,Fail
STU1269,4.7,59.8,55.0,47.5,42.6,Pass,C
STU1270,7.4,68.3,66.5,78.0,64.3,Pass,B
STU1271,8.8,83.0,80.1,87.5,83.8,Pass,A
STU1272,4.9,51.8,32.4,42.4,59.1,Fail,Fail
STU1273,6.3,71.5,83.6,67.2,60.9,Pass,B
STU1274,5.7,68.4,65.2,55.6,63.1,Pass,C
STU1275,6.0,50.1,38.9,38.5,41.8,Fail,Fail
STU1276,6.7,62.0,76.4,71.1,66.1,Pass,B
STU1277,8.6,75.8,71.2,70.1,51.4,Pass,B
STU1278,5.7,52.7,51.9,50.1,39.9,Fail,Fail
STU1279,6.3,74.6,61.6,66.1,54.8,Pass,C
STU1280,5.2,69.0,58.1,61.5,55.3,Pass,C
STU1281,6.3,53.4,55.7,83.8,50.9,Pass,B
STU1282,6.6,67.4,70.1,61.7,68.4,Pass,B
STU1283,8.6,91.8,68.7,98.7,85.4,Pass,A+
STU1284,5.5,49.0,47.6,58.3,46.3,Pass,C
STU1285,7.8,81.4,81.1,86.6,91.9,Pass,A
STU1286,2.3,56.1,41.2,35.0,40.4,Fail,Fail
STU1287,4.0,73.8,55.4,53.7,49.6,Fail,Fail
STU1288,7.2,70.6,67.3,76.3,73.5,Pass,B
STU1289,5.2,64.9,59.8,77.6,55.5,Pass,B
STU1290,3.1,75.7,48.6,54.6,60.7,Pass,C
STU1291,6.1,81.9,66.8,67.2,70.6,Pass,B
STU1292,7.9,72.7,35.2,62.1,57.9,Pass,B
STU1293,5.3,63.9,60.1,44.8,41.2,Pass,C
STU1294,7.9,67.7,75.1,78.0,59.1,Pass,B
STU1295,6.5,63.5,56.9,79.9,69.3,Pass,B
STU1296,5.1,67.0,42.1,42.8,50.3,Pass,C
STU1297,8.0,79.2,85.2,72.0,69.5,Pass,B
STU1298,6.1,83.1,58.0,69.5,69.9,Pass,B
STU1299,7.2,80.6,64.1,69.3,73.3,Pass,B
STU1300,7.1,59.7,77.4,68.6,63.5,Pass,B
STU1301,4.3,70.6,49.9,47.8,49.7,Pass,C
STU1302,6.3,54.4,45.0,49.1,47.4,Fail,Fail
STU1303,6.7,70.7,72.7,67.2,71.4,Pass,B
STU1304,6.0,75.3,62.0,77.0,69.2,Pass,B
STU1305,6.5,85.8,67.4,55.8,60.5,Pass,C
STU1306,5.2,97.0,69.2,51.0,73.9,Pass,B
STU1307,7.6,84.0,82.9,78.2,72.6,Pass,A
STU1308,5.3,61.5,53.7,62.5,45.1,Pass,C
STU1309,7.7,77.3,80.5,74.3,59.9,Pass,B
STU1310,6.2,74.3,57.0,59.8,50.9,Pass,C
STU1311,5.7,63.3,48.5,62.2,53.0,Pass,C
STU1312,8.1,93.2,79.6,68.9,82.8,Pass,A+
STU1313,8.4,76.9,87.0,84.8,62.0,Pass,B
STU1314,7.5,79.2,65.1,81.1,69.4,Pass,A
STU1315,7.6,84.8,77.1,80.2,69.4,Pass,A
STU1316,4.7,72.0,63.2,69.4,57.4,Pass,B
STU1317,5.8,81.2,69.9,62.5,56.9,Pass,B
STU1318,5.3,59.9,48.5,68.7,51.6,Pass,C
STU1319,5.8,65.6,72.7,69.0,59.0,Pass,B
STU1320,5.7,57.0,74.3,60.0,57.9,Pass,B
STU1321,6.2,72.8,62.8,66.5,61.6,Pass,B
STU1322,7.2,79.9,62.6,74.0,57.9,Pass,B
STU1323,4.9,65.4,36.9,62.9,57.6,Pass,C
STU1324,9.0,100.0,93.2,87.4,86.3,Pass,A+
STU1325,4.9,59.6,52.6,45.0,48.2,Fail,Fail
STU1326,2.6,64.0,45.1,50.3,46.0,Fail,Fail
STU1327,6.5,67.7,77.4,73.9,64.7,Pass,B
STU1328,6.8,71.0,67.8,82.9,67.4,Pass,B
STU1329,5.5,79.4,61.7,83.6,69.8,Pass,A
STU1330,7.4,80.8,75.3,72.6,54.6,Pass,B
STU1331,7.5,65.3,66.2,74.8,53.4,Pass,B
STU1332,6.1,60.0,35.7,46.6,46.1,Fail,Fail
STU1333,5.9,55.0,72.3,71.5,57.2,Pass,B
STU1334,6.7,59.2,53.9,61.6,58.1,Pass,C
STU1335,7.3,84.1,84.4,82.9,65.4,Pass,A
STU1336,5.5,72.0,48.4,56.8,54.2,Pass,C
STU1337,4.4,65.7,38.1,38.2,46.4,Fail,Fail
STU1338,5.3,65.8,54.1,63.6,48.9,Pass,C
STU1339,6.1,71.5,69.7,53.1,60.2,Pass,B
STU1340,5.5,57.4,64.1,55.0,55.7,Pass,C
STU1341,5.2,67.5,52.6,61.5,43.1,Pass,C
STU1342,6.3,73.8,62.0,70.0,64.6,Pass,B
STU1343,6.7,74.4,56.5,85.3,49.9,Pass,B
STU1344,6.6,59.1,61.0,69.7,47.3,Pass,C
STU1345,6.4,45.0,46.2,56.0,45.7,Pass,C
STU1346,4.8,79.8,74.9,64.1,74.8,Pass,B
STU1347,1.7,51.7,36.3,36.5,39.0,Fail,Fail
STU1348,5.2,48.6,50.0,35.2,25.1,Fail,Fail
STU1349,3.8,68.3,54.0,43.3,37.6,Fail,Fail
STU1350,5.5,62.7,55.8,56.8,55.0,Pass,C
STU1351,5.2,80.1,61.0,49.6,68.1,Pass,B
STU1352,6.0,85.7,79.7,80.9,78.3,Pass,B
STU1353,7.6,81.2,75.9,76.8,70.2,Pass,B
STU1354,6.6,54.4,58.1,51.7,61.3,Pass,B
STU1355,5.4,78.8,55.6,66.2,56.8,Pass,C
STU1356,2.2,62.1,43.8,48.8,53.8,Fail,Fail
STU1357,5.4,64.5,60.3,64.8,45.5,Pass,B
STU1358,6.0,66.9,40.8,59.4,48.8,Fail,Fail
STU1359,4.9,54.7,68.0,69.8,44.9,Fail,Fail
STU1360,5.2,64.9,40.7,59.4,47.9,Fail,Fail
STU1361,6.6,63.0,59.7,74.7,61.1,Pass,B
STU1362,8.4,68.5,71.2,81.7,72.7,Pass,A
STU1363,6.0,53.4,45.8,66.1,53.8,Pass,C
STU1364,5.5,81.3,56.5,77.3,58.4,Pass,B
STU1365,8.0,68.0,65.4,73.5,62.9,Pass,B
STU1366,5.4,78.5,67.7,75.8,46.5,Pass,B
STU1367,6.2,65.0,59.7,63.7,68.8,Pass,B
STU1368,5.1,52.7,61.4,62.7,52.2,Fail,Fail
STU1369,5.7,58.8,64.3,59.7,53.2,Pass,C
STU1370,4.2,72.7,49.3,53.3,63.3,Pass,C
STU1371,5.9,66.8,59.8,51.0,49.2,Pass,C
STU1372,8.3,67.2,59.1,72.8,54.4,Pass,B
STU1373,6.4,81.4,91.9,72.7,66.7,Pass,A
STU1374,5.5,80.4,87.0,74.7,69.3,Pass,A
STU1375,10.0,95.8,80.5,100.0,87.4,Pass,A+
STU1376,4.9,74.7,41.3,58.8,57.9,Pass,C
STU1377,6.4,72.0,71.1,56.4,84.9,Pass,B
STU1378,7.3,57.6,56.0,87.2,41.3,Pass,B
STU1379,8.0,82.3,96.4,96.4,85.5,Pass,A+
STU1380,6.9,63.7,42.8,53.0,45.8,Pass,C
STU1381,5.7,52.4,62.6,56.5,42.4,Pass,B
STU1382,4.8,54.4,59.3,56.5,44.9,Fail,Fail
STU1383,5.6,53.6,29.6,36.2,28.9,Fail,Fail
STU1384,4.8,63.2,59.3,57.5,63.9,Pass,C
STU1385,5.8,62.0,56.4,51.6,55.6,Pass,C
STU1386,6.5,62.4,58.3,64.8,58.1,Pass,B
STU1387,7.7,68.7,59.4,68.2,70.7,Pass,B
STU1388,9.8,75.2,88.7,84.6,66.1,Pass,A
STU1389,7.2,83.9,80.3,79.7,61.2,Pass,A
STU1390,4.6,72.6,52.3,59.4,38.7,Pass,C
STU1391,5.4,45.0,35.5,57.9,39.3,Fail,Fail
STU1392,5.9,63.7,61.8,76.4,62.5,Pass,B
STU1393,6.4,45.0,39.7,54.9,41.1,Fail,Fail
STU1394,8.3,77.3,86.9,86.9,77.9,Pass,A
STU1395,7.1,77.0,91.5,87.4,61.0,Pass,B
STU1396,5.6,51.1,43.3,48.0,55.2,Pass,C
STU1397,2.6,45.6,37.8,29.6,38.7,Fail,Fail
STU1398,6.7,70.1,90.7,73.6,75.8,Pass,B
STU1399,7.1,68.9,74.2,75.7,43.9,Pass,B
STU1400,6.8,78.8,75.7,87.9,74.0,Pass,B
STU1401,3.0,48.4,39.5,43.2,30.4,Fail,Fail
STU1402,5.8,64.6,55.0,66.7,49.0,Pass,C
STU1403,7.2,63.1,61.4,61.6,60.6,Pass,B
STU1404,6.8,65.9,60.0,70.7,58.5,Pass,B
STU1405,6.5,79.3,56.3,60.8,50.8,Pass,B
STU1406,6.0,85.2,51.6,78.3,67.9,Pass,B
STU1407,3.3,47.5,48.8,44.8,32.5,Fail,Fail
STU1408,7.3,74.3,58.7,64.3,66.3,Pass,B
STU1409,5.8,76.3,60.2,70.0,59.7,Pass,B
STU1410,6.4,61.9,82.0,78.6,68.9,Pass,B
STU1411,8.2,81.2,65.9,73.7,64.0,Pass,B
STU1412,5.2,72.6,40.3,50.3,45.4,Fail,Fail
STU1413,4.6,45.2,50.9,36.2,33.1,Fail,Fail
STU1414,9.7,70.3,73.3,69.5,76.2,Pass,A
STU1415,5.8,79.9,61.1,69.5,59.0,Pass,B
STU1416,6.0,64.3,47.7,62.0,54.9,Pass,C
STU1417,7.9,85.8,89.2,89.1,73.7,Pass,A
STU1418,6.4,72.0,63.2,51.8,46.2,Pass,B
STU1419,8.9,81.2,68.6,83.3,67.9,Pass,A
STU1420,6.6,56.6,57.3,49.8,47.5,Pass,C
STU1421,9.0,94.4,86.7,100.0,83.4,Pass,A+
STU1422,9.2,93.0,85.8,84.3,71.7,Pass,A
STU1423,5.3,63.9,59.2,70.3,61.2,Pass,B
STU1424,6.3,75.6,77.5,83.7,68.0,Pass,B
STU1425,5.7,59.5,57.2,63.7,60.4,Pass,C
STU1426,5.7,83.9,88.0,69.4,78.9,Pass,A
STU1427,6.9,65.2,47.3,60.4,55.4,Pass,C
STU1428,5.7,73.1,80.0,64.5,65.3,Pass,B
STU1429,7.0,86.9,79.0,79.9,66.9,Pass,A
STU1430,3.6,50.5,41.3,35.5,25.4,Fail,Fail
STU1431,4.9,63.3,45.5,35.0,41.4,Fail,Fail
STU1432,4.4,45.0,38.8,20.9,29.6,Fail,Fail
STU1433,6.5,65.6,59.6,65.5,55.7,Pass,C
STU1434,6.3,72.4,70.1,68.9,63.1,Pass,B
STU1435,7.6,82.4,98.4,81.2,79.9,Pass,A+
STU1436,6.4,65.3,67.3,72.5,53.7,Pass,B
STU1437,7.7,80.3,88.4,96.6,75.3,Pass,A
STU1438,6.0,64.0,30.4,48.3,52.9,Fail,Fail
STU1439,4.4,50.0,25.4,39.6,40.6,Fail,Fail
STU1440,6.7,53.1,61.2,70.5,53.4,Pass,B
STU1441,7.1,86.9,66.8,61.5,62.0,Pass,B
STU1442,7.1,80.2,55.2,69.7,56.3,Pass,B
